time,resistance
48.13354683,12.17325301
48.20615935,12.17369806
48.278965,12.17409225
48.35197496,12.17453911
48.42426682,12.17495873
48.49746943,12.17542467
48.56969452,12.17577616
48.64187098,12.1762094
48.71415758,12.1764619
48.78646874,12.17691149
48.85950541,12.17726299
48.93227172,12.17772438
49.00451946,12.17804046
49.0779984,12.17849186
49.1512804,12.17890876
49.22314668,12.17925753
49.30728245,12.17965171
49.38051581,12.17999685
49.45232677,12.18046461
49.52469826,12.1808706
49.59641147,12.18137832
49.67194724,12.18178976
49.74639845,12.18207586
49.81823897,12.18236651
49.89269114,12.18275343
49.96530986,12.18320029
50.03706455,12.18364625
50.10887408,12.18394688
50.18047523,12.18441827
50.25227284,12.18469256
50.32405591,12.18519665
50.39561677,12.18571345
50.46718454,12.18622843
50.53894472,12.18663534
50.61064863,12.18707039
50.68215036,12.1876099
50.75387192,12.18799319
50.8263948,12.18848546
50.899786,12.18895049
50.9717865,12.18942097
51.04502177,12.18989418
51.11787724,12.19038373
51.190907,12.19082151
51.26396465,12.19119753
51.33661819,12.19154085
51.40835547,12.19183695
51.47981429,12.19222932
51.55129361,12.19272614
51.62299061,12.19326837
51.69456673,12.19373976
51.76608348,12.19414393
51.83747101,12.19449452
51.90909958,12.19496409
51.9806304,12.19549361
52.05213714,12.19608761
52.12378645,12.19681876
52.19511747,12.19751903
52.26811051,12.19808215
52.34020329,12.19861348
52.41181159,12.19918932
52.48328948,12.19975789
52.55469275,12.20015844
52.6268158,12.20060803
52.7000258,12.20106307
52.77595639,12.20151265
52.84961486,12.20192773
52.92260242,12.20223745
52.99439955,12.20237187
53.06618834,12.20264616
53.13820505,12.20294771
53.21017861,12.2032547
53.28215599,12.20357895
53.3546226,12.20383145
53.42649555,12.20437004
53.49816656,12.2048932
53.57027817,12.2053764
53.64217854,12.2059041
53.71483302,12.20633007
53.78706169,12.20657167
53.85914159,12.20700582
53.93208051,12.2074545
54.00412107,12.20795586
54.07701802,12.20844814
54.14886856,12.20895131
54.22213197,12.20946539
54.29527235,12.209994
54.36715245,12.21030281
54.43979311,12.21074695
54.51174355,12.21111752
54.58376384,12.211588
54.6564877,12.21204122
54.72944927,12.21254076
54.80193377,12.21281324
54.87540579,12.21328009
54.95334363,12.21378236
55.02618337,12.21439089
55.09847236,12.21485683
55.17098951,12.21520833
55.24270964,12.21561795
55.31511283,12.21622921
55.38732409,12.21678143
55.46913409,12.21738997
55.54115272,12.21782684
55.61270475,12.21836726
55.68416858,12.21859887
55.7566092,12.21893674
55.82867241,12.2194054
55.90067244,12.21983501
55.9729228,12.22016925
56.04468989,12.22050349
56.11631823,12.22101938
56.1879127,12.22143627
56.25970173,12.22196216
56.33175492,12.22243354
56.40397072,12.22283045
56.47562599,12.22327732
56.54902816,12.22376324
56.62075233,12.22427277
56.69373536,12.22468058
56.76555777,12.22515651
56.83765578,12.22556705
56.91018534,12.22606386
56.98234797,12.22640446
57.05401707,12.22681409
57.12592745,12.22723825
57.19756985,12.22760246
57.26946974,12.22798665
57.34168673,12.22857248
57.41404343,12.22909746
57.48656821,12.22962152
57.55904984,12.23019464
57.6315012,12.23076321
57.70652485,12.23140262
57.77947593,12.23194304
57.85326219,12.23244531
57.92686224,12.23305929
58.00087571,12.23360243
58.07984996,12.23443894
58.16183043,12.23509289
58.23556185,12.2356878
58.30860853,12.2363254
58.38205147,12.23679497
58.45437384,12.23744074
58.52656436,12.23804837
58.59888816,12.23861785
58.67099977,12.23918824
58.74357009,12.23980858
58.81562114,12.24033901
58.8881979,12.24078496
58.96194744,12.24125998
59.03513217,12.24176316
59.1107707,12.24232265
59.18452501,12.2428231
59.25780725,12.24341801
59.33139682,12.243834
59.40707397,12.24438804
59.48044491,12.2449121
59.55609393,12.24544798
59.63313246,12.24617186
59.70696592,12.24666414
59.78123236,12.24729175
59.85678005,12.2477159
59.92961836,12.24821817
60.0045929,12.24864778
60.08012843,12.24921454
60.15725994,12.24977312
60.23155546,12.25042525
60.30474877,12.25108283
60.37808776,12.25173587
60.45043254,12.25242615
60.52259541,12.25307646
60.59451008,12.25366956
60.66627979,12.25428354
60.73878407,12.2549602
60.81243157,12.25560506
60.88565111,12.25615819
60.95980954,12.25687844
61.03261209,12.25745428
61.10532117,12.25814274
61.17789292,12.2588303
61.25046086,12.259457
61.32262659,12.26005282
61.39530373,12.26066862
61.46890688,12.26157779
61.55357504,12.26234618
61.6264019,12.26321175
61.70057178,12.264031
61.77298403,12.26467314
61.84542656,12.26519085
61.91765928,12.26559684
61.98995566,12.26617359
62.06243658,12.26685115
62.13493466,12.26742336
62.20768094,12.26815269
62.28186727,12.26889747
62.35438633,12.26950691
62.4269855,12.26993742
62.50155807,12.27052507
62.57605839,12.27111635
62.64950323,12.27169491
62.72613811,12.27248782
62.80170226,12.2731563
62.87649322,12.27389835
62.95154905,12.27458681
63.02536964,12.27510997
63.09949684,12.27577845
63.17256284,12.27645783
63.24696183,12.27706728
63.32354498,12.2776858
63.39733529,12.27828889
63.47198653,12.27882294
63.54560804,12.27945146
63.61933112,12.28000732
63.69324112,12.28079205
63.76704693,12.28206544
63.84215903,12.28267488
63.91630793,12.28361039
63.99319696,12.28418714
64.06702828,12.28481474
64.14145589,12.28548141
64.21505737,12.28588377
64.28924608,12.28671483
64.36769509,12.28746051
64.44300389,12.28821164
64.51729012,12.28910628
64.59326506,12.28976295
64.66928792,12.29056585
64.74548459,12.29116167
64.82346082,12.29168846
64.89885759,12.29228247
64.97357154,12.29282742
65.04779077,12.29340054
65.12164712,12.29404086
65.19522405,12.29473931
65.27056003,12.29556856
65.34404111,12.29602087
65.42133927,12.29667664
65.50550866,12.2972007
65.5790863,12.29778835
65.65402484,12.29842867
65.72823763,12.29924883
65.80145025,12.29999451
65.87569618,12.30072294
